time,company_id,device_id,motor_temp,motor_speed_act,motor_speed_actual,bearing_temp,rear_bearing_temp,bearing_accel_value,bearing_freq_value,bearing_accel_peak,bearing_accel_value2,bearing_freq_value2,bearing_temp_value,motor_bearing_front_temp,motor_bearing_front_freq,motor_bearing_front_accel,motor_bearing_front_accel_peak,motor_bearing_rear_temp,motor_bearing_rear_freq,motor_bearing_rear_accel,motor_bearing_rear_accel_peak,operation_status,current_ratio,quick_ratio,equity_multiplier,company_size,debt_to_asset_ratio,roa,roe,asset_turnover,cash_flow_ratio,revenue_growth_rate
07OCT23:12:00:00,1,2,61.3,1030.74,1132.77,82.93,87.88,0.75,49.6,0.42,0.89,59.15,96.68,82.79,51.3,0.43,0.48,87.57,43.01,0.56,0.52,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:00:00:00,1,6,66.4,1168.44,1231.51,93.06,85.62,0.97,49.91,0.35,0.9,49.55,88.77,78.25,49.39,0.64,0.3,83.56,63.99,0.59,0.59,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:00:00:00,1,2,77.72,1153.82,1035.63,85.63,90.32,0.74,38.73,0.5,0.88,43.58,85.36,85.66,45.13,0.45,0.46,87.32,40.36,0.68,0.49,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,2,65.53,1213.9,1433.62,85.82,88.74,0.91,55.46,0.39,0.84,56.74,78.69,85.7,43.81,0.62,0.45,81.21,35.54,0.55,0.56,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,3,61.34,1291.56,1255.14,89.49,91.33,0.8,59.77,0.47,0.83,42.3,83.27,77.25,80.22,0.72,0.43,83.64,44.8,0.73,0.5,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:12:00:00,1,3,61.06,1206.73,1310.67,89.3,95.86,0.86,62.9,0.38,0.9,62.77,89.38,80.69,37.69,0.63,0.37,92.74,52.99,0.74,0.51,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,1,48.87,1270.62,1187.86,79.37,88.71,0.85,66.44,0.38,0.63,63.63,78.58,99.53,55.98,0.47,0.45,84.17,54.52,0.69,0.46,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,3,72.85,992.43,1252.85,75.82,82.01,0.88,54.64,0.39,1.04,49.03,83.13,79.73,55.86,0.5,0.42,93.57,57.49,0.86,0.56,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,5,52.1,1237.36,1051.36,89.22,95.46,0.57,61.48,0.44,0.74,58.64,80.81,86.24,43.44,0.67,0.48,92.89,71.43,0.72,0.54,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,1,73.69,1198.44,1296.63,89.27,90.79,0.7,60.38,0.41,0.7,66.61,82.38,92.26,28.57,0.6,0.35,93.42,30.62,0.68,0.51,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:12:00:00,1,5,64.2,1168.87,1151.17,87.92,87.12,0.66,46.68,0.42,0.92,29.44,88.3,83.8,35.83,0.52,0.44,93.99,42.25,0.86,0.5,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,4,72.28,1296,1302.36,76.4,90.35,0.89,51.54,0.38,0.9,54.16,78.98,79.02,50.3,0.8,0.38,100.49,87.9,0.74,0.52,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,6,59.77,1139.96,1180.66,87.16,85.47,0.81,59.65,0.4,0.84,41.94,80.5,92,56.48,0.67,0.31,87.22,53.79,0.62,0.57,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,1,63.81,1037.89,1036.75,87.68,93.83,0.87,39.41,0.36,0.85,60.71,85.49,87.17,55.8,0.78,0.34,90.4,51.65,0.77,0.53,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,4,71.3,1099.57,1198.67,71.05,90.81,0.66,49.31,0.38,0.82,53.94,82.79,80.81,46.98,0.71,0.46,85.24,70.34,0.74,0.53,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,3,83.06,1370.66,1217.58,90.57,94.95,0.68,39.47,0.34,0.64,52.69,75.47,85.37,50.34,0.64,0.35,89.9,51.53,0.93,0.47,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,3,65.28,1349.78,1213.54,80.13,93.62,0.64,39.13,0.41,0.76,61.97,79.45,81.27,42.26,0.61,0.41,87.96,53.57,0.53,0.49,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
